date,EUR2M Curncy,EUR Curncy,EURUSDH2M BGN Curncy,EURUSDV2M BGN Curncy
10/7/2016,26.74,1.1201,6.3931,8.61
10/10/2016,26.61,1.1139,6.3288,8.335
10/11/2016,26.16,1.1054,6.3514,8.9175
10/12/2016,26.27,1.1007,6.3528,8.8075
10/13/2016,28.38,1.1056,6.397,8.9525
10/14/2016,27.93,1.0972,6.3351,8.7975
10/17/2016,27.72,1.1,6.2616,8.92
10/18/2016,26.75,1.0981,6.2222,8.7625
10/19/2016,26.14,1.0974,6.2207,8.505
10/20/2016,27.89,1.0929,6.2853,8.4125
10/21/2016,27.67,1.0884,6.2805,8.67
10/24/2016,27.57,1.0882,6.2653,8.5825
10/25/2016,27.16,1.0889,6.3098,8.5775
10/26/2016,26.9,1.0908,6.2201,8.3525
10/27/2016,26.94,1.0897,6.2255,8.1625
10/28/2016,32.5,1.0985,6.2762,8.1775
10/31/2016,32.29,1.0981,6.2566,8.2525
11/1/2016,31.47,1.1055,6.1779,8.43
11/2/2016,31.25,1.1098,6.162,8.8975
11/3/2016,32.49,1.1105,6.1878,8.72
11/4/2016,32.43,1.1141,6.0413,9.1575
11/7/2016,31.79,1.1041,6.21,8.2925
11/8/2016,31.75,1.1026,6.1541,8.13
11/9/2016,32.7,1.091,7.5669,8.4475
11/10/2016,32.33,1.0893,7.6826,8.665
11/11/2016,31.49,1.0855,7.7811,9.0175
11/14/2016,31.59,1.0737,7.9754,9.7625
11/15/2016,31.43,1.0722,8.0514,9.1225
11/16/2016,32.11,1.0691,8.1165,9.4325
11/17/2016,33.25,1.0626,8.2461,9.495
11/18/2016,32.99,1.0588,8.3359,10.3425
11/21/2016,33.14,1.063,8.3856,9.88
11/22/2016,33.42,1.0627,8.4231,9.385
11/23/2016,33.45,1.0553,8.4893,9.92
11/24/2016,34.97,1.0554,8.5416,9.8625
11/25/2016,34.28,1.0589,8.5834,9.5225
11/28/2016,35.45,1.0614,8.6707,9.71
11/29/2016,35.49,1.065,8.7026,9.8825
11/30/2016,34.63,1.0589,8.7262,10.53
12/1/2016,35.43,1.0661,8.8235,10.4125
12/2/2016,35.83,1.0664,8.7258,10.3225
12/5/2016,35.96,1.0764,9.3238,9.7025
12/6/2016,35.15,1.0718,9.3707,9.705
12/7/2016,34.39,1.0753,9.3265,9.505
12/8/2016,33.96,1.0615,9.5573,9.515
12/9/2016,34.74,1.0561,9.5918,9.885
12/12/2016,35.56,1.0635,9.606,9.9125
12/13/2016,35.65,1.0626,9.6119,9.555
12/14/2016,34.99,1.0536,9.7515,9.81
12/15/2016,36.44,1.0414,9.9973,10.745
12/16/2016,36.01,1.0451,10.134,10.73
12/19/2016,36.09,1.0402,10.193,10.74
12/20/2016,36.38,1.0388,10.1603,10.455
12/21/2016,36.05,1.0424,10.1698,10.105
12/22/2016,36.79,1.0437,10.2376,10.035
12/23/2016,37.65,1.0456,10.2241,10.2525
12/26/2016,37.46,1.0455,10.1924,10.3825
12/27/2016,37.6,1.0457,10.1773,10.5525
12/28/2016,41.05,1.0413,10.1757,10.61
12/29/2016,30.99,1.049,10.2321,10.17
12/30/2016,31,1.0517,10.4086,10.19
1/2/2017,29.85,1.0455,10.3665,10.365
1/3/2017,28.51,1.0405,10.5713,10.355
1/4/2017,27.4,1.0489,10.5984,9.87
1/5/2017,27.46,1.0607,10.6926,9.86
1/6/2017,27.3,1.0532,10.7895,9.235
1/9/2017,27.97,1.0574,9.864,9.78
1/10/2017,26.65,1.0554,9.8286,9.65
1/11/2017,25.9,1.0582,9.9189,9.875
1/12/2017,25.68,1.0613,9.8326,9.55
1/13/2017,25.5,1.0643,9.8096,9.3
1/16/2017,26.78,1.0601,9.7585,9.9975
1/17/2017,26.55,1.0713,9.7293,9.62
1/18/2017,25.95,1.063,9.699,9.525
1/19/2017,26.35,1.0664,9.7469,9.62
1/20/2017,26.26,1.0703,9.7463,9.485
1/23/2017,27.08,1.0765,9.7217,9.36
1/24/2017,26.1,1.0731,9.693,9.08
1/25/2017,25.55,1.0748,9.6896,8.955
1/26/2017,25.96,1.0682,9.6352,9.1525
1/27/2017,25.7,1.0699,9.6057,9.0075
1/30/2017,31.71,1.0695,9.564,9.52
1/31/2017,30.47,1.0798,9.6067,9.1625
2/1/2017,30.39,1.0769,9.6261,8.9475
2/2/2017,29.95,1.0759,9.0599,8.5925
